UF;Municipio;POPULACAO ESTIMADA;Pais
AC;ACRELANDIA;15256;Brasil
AC;ASSIS BRASIL;7417;Brasil
AC;BRASILEIA;26278;Brasil
AC;BUJARI;10266;Brasil
AC;CAPIXABA;11733;Brasil
AC;CRUZEIRO DO SUL;88376;Brasil
AC;EPITACIOLANDIA;18411;Brasil
AC;FEIJO;34780;Brasil
AC;JORDAO;8317;Brasil
AC;MANCIO LIMA;18977;Brasil
AC;MANOEL URBANO;9459;Brasil
AC;MARECHAL THAUMATURGO;18867;Brasil
AC;PLACIDO DE CASTRO;19761;Brasil
AC;PORTO ACRE;18504;Brasil
AC;PORTO WALTER;11982;Brasil
AC;RIO BRANCO;407319;Brasil
AC;RODRIGUES ALVES;18930;Brasil
AC;SANTA ROSA DO PURUS;6540;Brasil
AC;SENA MADUREIRA;45848;Brasil
AC;SENADOR GUIOMARD;23024;Brasil
AC;TARAUACA;42567;Brasil
AC;XAPURI;19323;Brasil
AL;AGUA BRANCA;20196;Brasil
AL;ANADIA;17545;Brasil
AL;ARAPIRACA;231747;Brasil
AL;ATALAIA;47185;Brasil
AL;BARRA DE SANTO ANTONIO;15932;Brasil
AL;BARRA DE SAO MIGUEL;8322;Brasil
AL;BATALHA;18232;Brasil
AL;BELEM;4344;Brasil
AL;BELO MONTE;6704;Brasil
AL;BOCA DA MATA;27281;Brasil
AL;BRANQUINHA;10494;Brasil
AL;CACIMBINHAS;10858;Brasil
AL;CAJUEIRO;21264;Brasil
AL;CAMPESTRE;6936;Brasil
AL;CAMPO ALEGRE;57063;Brasil
AL;CAMPO GRANDE;9558;Brasil
AL;CANAPI;17722;Brasil
AL;CAPELA;17053;Brasil
AL;CARNEIROS;9081;Brasil
AL;CHA PRETA;7311;Brasil
AL;COITE DO NOIA;10693;Brasil
AL;COLONIA LEOPOLDINA;21698;Brasil
AL;COQUEIRO SECO;5845;Brasil
AL;CORURIPE;56933;Brasil
AL;CRAIBAS;24219;Brasil
AL;DELMIRO GOUVEIA;52016;Brasil
AL;DOIS RIACHOS;11075;Brasil
AL;ESTRELA DE ALAGOAS;18205;Brasil
AL;FEIRA GRANDE;22166;Brasil
AL;FELIZ DESERTO;4754;Brasil
AL;FLEXEIRAS;12790;Brasil
AL;GIRAU DO PONCIANO;40917;Brasil
AL;IBATEGUARA;15616;Brasil
AL;IGACI;25631;Brasil
AL;IGREJA NOVA;24499;Brasil
AL;INHAPI;18385;Brasil
AL;JACARE DOS HOMENS;5253;Brasil
AL;JACUIPE;7021;Brasil
AL;JAPARATINGA;8361;Brasil
AL;JARAMATAIA;5770;Brasil
AL;JEQUIA DA PRAIA;11580;Brasil
AL;JOAQUIM GOMES;23993;Brasil
AL;JUNDIA;4155;Brasil
AL;JUNQUEIRO;24727;Brasil
AL;LAGOA DA CANOA;17852;Brasil
AL;LIMOEIRO DE ANADIA;28635;Brasil
AL;MACEIO;1018948;Brasil
AL;MAJOR ISIDORO;19804;Brasil
AL;MAR VERMELHO;3514;Brasil
AL;MARAGOGI;32704;Brasil
AL;MARAVILHA;9163;Brasil
AL;MARECHAL DEODORO;51901;Brasil
AL;MARIBONDO;13264;Brasil
AL;MATA GRANDE;25216;Brasil
AL;MATRIZ DE CAMARAGIBE;24642;Brasil
AL;MESSIAS;17856;Brasil
AL;MINADOR DO NEGRAO;5329;Brasil
AL;MONTEIROPOLIS;7159;Brasil
AL;MURICI;28236;Brasil
AL;NOVO LINO;12690;Brasil
AL;OLHO D'AGUA DAS FLORES;21688;Brasil
AL;OLHO D'AGUA DO CASADO;9373;Brasil
AL;OLHO D'AGUA GRANDE;5123;Brasil
AL;OLIVENCA;11624;Brasil
AL;OURO BRANCO;11496;Brasil
AL;PALESTINA;5011;Brasil
AL;PALMEIRA DOS INDIOS;73218;Brasil
AL;PAO DE ACUCAR;24399;Brasil
AL;PARICONHA;10533;Brasil
AL;PARIPUEIRA;13176;Brasil
AL;PASSO DE CAMARAGIBE;15245;Brasil
AL;PAULO JACINTO;7564;Brasil
AL;PENEDO;63683;Brasil
AL;PIACABUCU;17827;Brasil
AL;PILAR;35111;Brasil
AL;PINDOBA;2908;Brasil
AL;PIRANHAS;25039;Brasil
AL;POCO DAS TRINCHEIRAS;14386;Brasil
AL;PORTO CALVO;27165;Brasil
AL;PORTO DE PEDRAS;7786;Brasil
AL;PORTO REAL DO COLEGIO;20066;Brasil
AL;QUEBRANGULO;11294;Brasil
AL;RIO LARGO;75120;Brasil
AL;ROTEIRO;6664;Brasil
AL;SANTA LUZIA DO NORTE;7296;Brasil
AL;SANTANA DO IPANEMA;47654;Brasil
AL;SANTANA DO MUNDAU;10740;Brasil
AL;SAO BRAS;6961;Brasil
AL;SAO JOSE DA LAJE;23927;Brasil
AL;SAO JOSE DA TAPERA;32260;Brasil
AL;SAO LUIS DO QUITUNDE;34555;Brasil
AL;SAO MIGUEL DOS CAMPOS;61251;Brasil
AL;SAO MIGUEL DOS MILAGRES;7951;Brasil
AL;SAO SEBASTIAO;34152;Brasil
AL;SATUBA;13828;Brasil
AL;SENADOR RUI PALMEIRA;13870;Brasil
AL;TANQUE D'ARCA;6162;Brasil
AL;TAQUARANA;19980;Brasil
AL;TEOTONIO VILELA;44169;Brasil
AL;TRAIPU;27715;Brasil
AL;UNIAO DOS PALMARES;65611;Brasil
AL;VICOSA;25733;Brasil
AM;ALVARAES;16041;Brasil
AM;AMATURA;11536;Brasil
AM;ANAMA;13614;Brasil
AM;ANORI;21010;Brasil
AM;APUI;21973;Brasil
AM;ATALAIA DO NORTE;19921;Brasil
AM;AUTAZES;39565;Brasil
AM;BARCELOS;27502;Brasil
AM;BARREIRINHA;32041;Brasil
AM;BENJAMIN CONSTANT;42984;Brasil
AM;BERURI;19679;Brasil
AM;BOA VISTA DO RAMOS;19207;Brasil
AM;BOCA DO ACRE;34308;Brasil
AM;BORBA;41161;Brasil
AM;CAAPIRANGA;13081;Brasil
AM;CANUTAMA;15629;Brasil
AM;CARAUARI;28294;Brasil
AM;CAREIRO;37869;Brasil
AM;CAREIRO DA VARZEA;30225;Brasil
AM;COARI;85097;Brasil
AM;CODAJAS;28637;Brasil
AM;EIRUNEPE;35273;Brasil
AM;ENVIRA;20033;Brasil
AM;FONTE BOA;17609;Brasil
AM;GUAJARA;16678;Brasil
AM;HUMAITA;55080;Brasil
AM;IPIXUNA;29689;Brasil
AM;IRANDUBA;48296;Brasil
AM;ITACOATIARA;101337;Brasil
AM;ITAMARATI;7851;Brasil
AM;ITAPIRANGA;9148;Brasil
AM;JAPURA;2755;Brasil
AM;JURUA;14712;Brasil
AM;JUTAI;14317;Brasil
AM;LABREA;46069;Brasil
AM;MANACAPURU;97377;Brasil
AM;MANAQUIRI;32105;Brasil
AM;MANAUS;2182763;Brasil
AM;MANICORE;55751;Brasil
AM;MARAA;18224;Brasil
AM;MAUES;63905;Brasil
AM;NHAMUNDA;21173;Brasil
AM;NOVA OLINDA DO NORTE;37378;Brasil
AM;NOVO AIRAO;19454;Brasil
AM;NOVO ARIPUANA;25644;Brasil
AM;PARINTINS;114273;Brasil
AM;PAUINI;19426;Brasil
AM;PRESIDENTE FIGUEIREDO;36279;Brasil
AM;RIO PRETO DA EVA;33347;Brasil
AM;SANTA ISABEL DO RIO NEGRO;25156;Brasil
AM;SANTO ANTONIO DO ICA;21602;Brasil
AM;SAO GABRIEL DA CACHOEIRA;45564;Brasil
AM;SAO PAULO DE OLIVENCA;39299;Brasil
AM;SAO SEBASTIAO DO UATUMA;14020;Brasil
AM;SILVES;9171;Brasil
AM;TABATINGA;65844;Brasil
AM;TAPAUA;17156;Brasil
AM;TEFE;59849;Brasil
AM;TONANTINS;18755;Brasil
AM;UARINI;13540;Brasil
AM;URUCARA;16256;Brasil
AM;URUCURITUBA;23065;Brasil
AP;AMAPA;9109;Brasil
AP;CALCOENE;11117;Brasil
AP;CUTIAS;5983;Brasil
AP;FERREIRA GOMES;7780;Brasil
AP;ITAUBAL;5503;Brasil
AP;LARANJAL DO JARI;50410;Brasil
AP;MACAPA;503327;Brasil
AP;MAZAGAO;21632;Brasil
AP;OIAPOQUE;27270;Brasil
AP;PEDRA BRANCA DO AMAPARI;16502;Brasil
AP;PORTO GRANDE;21971;Brasil
AP;PRACUUBA;5120;Brasil
AP;SANTANA;121364;Brasil
AP;SERRA DO NAVIO;5397;Brasil
AP;TARTARUGALZINHO;17315;Brasil
AP;VITORIA DO JARI;15931;Brasil
BA;ABAIRA;8739;Brasil
BA;ABARE;20086;Brasil
BA;ACAJUTIBA;15159;Brasil
BA;ADUSTINA;17040;Brasil
BA;AGUA FRIA;16970;Brasil
BA;AIQUARA;4446;Brasil
BA;ALAGOINHAS;151596;Brasil
BA;ALCOBACA;22470;Brasil
BA;ALMADINA;5464;Brasil
BA;AMARGOSA;37241;Brasil
BA;AMELIA RODRIGUES;25102;Brasil
BA;AMERICA DOURADA;16094;Brasil
BA;ANAGE;17857;Brasil
BA;ANDARAI;13143;Brasil
BA;ANDORINHA;14595;Brasil
BA;ANGICAL;13977;Brasil
BA;ANGUERA;11221;Brasil
BA;ANTAS;19291;Brasil
BA;ANTONIO CARDOSO;11683;Brasil
BA;ANTONIO GONCALVES;11798;Brasil
BA;APORA;17731;Brasil
BA;APUAREMA;7330;Brasil
BA;ARACAS;12177;Brasil
BA;ARACATU;13135;Brasil
BA;ARACI;54379;Brasil
BA;ARAMARI;11397;Brasil
BA;ARATACA;11019;Brasil
BA;ARATUIPE;8825;Brasil
BA;AURELINO LEAL;11531;Brasil
BA;BAIANOPOLIS;13877;Brasil
BA;BAIXA GRANDE;20468;Brasil
BA;BANZAE;13229;Brasil
BA;BARRA;53578;Brasil
BA;BARRA DA ESTIVA;20598;Brasil
BA;BARRA DO CHOCA;31603;Brasil
BA;BARRA DO MENDES;13865;Brasil
BA;BARRA DO ROCHA;5714;Brasil
BA;BARREIRAS;155439;Brasil
BA;BARRO ALTO;14931;Brasil
BA;BARRO PRETO;5591;Brasil
BA;BARROCAS;15978;Brasil
